Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
10,1.44904378,-1.1763388,0.91385983,-1.3756667,-1.9713832,-0.6291521,-1.4232356,0.04845589,-1.7204084,1.62665906,1.19964395,-0.6714398,-0.5139472,-0.095045,0.23093041,0.03196747,0.25341472,0.85434381,-0.2213654,-0.3872265,-0.0093019,0.31389441,0.02774016,0.50051229,0.25136736,-0.129478,0.04284987,0.01625326,7.8,0
10,0.38497822,0.61610946,-0.8742997,-0.0940186,2.92458438,3.31702717,0.47045467,0.53824723,-0.5588946,0.30975539,-0.2591156,-0.3261432,-0.0900467,0.36283237,0.92890366,-0.1294868,-0.8099789,0.35998539,0.70766383,0.12599158,0.04992369,0.23842151,0.00912987,0.99671021,-0.7673148,-0.4922083,0.04247244,-0.0543374,9.99,0
10,1.24999874,-1.2216368,0.38393015,-1.2348987,-1.4854195,-0.7532302,-0.689405,-0.2274872,-2.0940106,1.32372927,0.22766623,-0.242682,1.20541681,-0.3176305,0.72567499,-0.8156122,0.87393645,-0.8477886,-0.6831926,-0.1027559,-0.2318092,-0.4832853,0.08466769,0.39283089,0.16113455,-0.35499,0.02641555,0.04242209,121.5,0
11,1.06937359,0.28772213,0.82861273,2.71252043,-0.178398,0.33754373,-0.0967169,0.11598174,-0.2210826,0.46023044,-0.7736569,0.32338725,-0.0110759,-0.1784852,-0.6555643,-0.1999252,0.12400542,-0.9804962,-0.9829161,-0.1531972,-0.0368755,0.0744124,-0.0714074,0.10474375,0.54826473,0.10409415,0.02149106,0.02129331,27.5,0
12,-2.7918548,-0.3277708,1.64175016,1.76747274,-0.1365884,0.80759647,-0.4229114,-1.9071075,0.75571291,1.15108699,0.84455547,0.79294395,0.37044809,-0.7349751,0.40679571,-0.3030576,-0.1558687,0.77826546,2.22186801,-1.582122,1.15166305,0.22218197,1.0205862,0.02831665,-0.2327463,-0.2355572,-0.1647775,-0.0301536,58.8,0
12,-0.752417,0.34548542,2.05732291,-1.4686433,-1.1583937,-0.0778498,-0.6085814,0.00360348,-0.436167,0.74773083,-0.7939806,-0.7704067,1.047627,-1.0666037,1.10695346,1.66011356,-0.2792654,-0.4199941,0.43253535,0.26345086,0.49962495,1.35365049,-0.2565733,-0.0650837,-0.0391244,-0.0870865,-0.1809975,0.12939406,15.99,0
12,1.10321544,-0.0402962,1.26733209,1.28909147,-0.7359972,0.28806916,-0.5860568,0.18937971,0.78233289,-0.2679751,-0.4503113,0.93670771,0.70838041,-0.4686473,0.35457406,-0.2466347,-0.0092124,-0.5959124,-0.5756816,-0.1139102,-0.024612,0.19600195,0.01380165,0.10375833,0.36429754,-0.3822606,0.09280919,0.03705052,12.99,0
13,-0.4369051,0.91896621,0.92459077,-0.7272191,0.91567872,-0.1278674,0.70764161,0.08796236,-0.6652714,-0.7379798,0.32409781,0.27719211,0.25262426,-0.2918965,-0.1845202,1.14317371,-0.9287093,0.68046959,0.02543646,-0.0470213,-0.1947958,-0.672638,-0.1568575,-0.8883863,-0.3424132,-0.0490267,0.0796924,0.13102379,0.89,0
14,-5.4012577,-5.4501478,1.18630463,1.7362388,3.04910588,-1.7634056,-1.5597377,0.16084175,1.23308974,0.34517283,0.91722987,0.97011672,-0.2665678,-0.4791299,-0.5266085,0.47200411,-0.7254809,0.07508135,-0.4068666,-2.196848,-0.5036003,0.98445979,2.45858858,0.0421189,-0.4816308,-0.621272,0.39205329,0.94959425,46.8,0
15,1.49293598,-1.0293457,0.45479473,-1.4380259,-1.5554341,-0.7209611,-1.0806641,-0.0531271,-1.9786816,1.63807604,1.07754241,-0.6320465,-0.4169572,0.05201052,-0.0429789,-0.1664325,0.30424142,0.5544325,0.05422952,-0.3879102,-0.1776498,-0.1750738,0.04000222,0.29581386,0.3329306,-0.2203849,0.02229844,0.00760226,5,0
16,0.69488478,-1.3618191,1.02922104,0.8341593,-1.1912088,1.30910882,-0.8785859,0.44529013,-0.4461958,0.56852074,1.01915061,1.2983287,0.42048027,-0.372651,-0.8079795,-2.0445575,0.51566347,0.6258473,-1.3004082,-0.1383339,-0.2955829,-0.571955,-0.0508807,-0.3042145,0.07200101,-0.4222344,0.0865534,0.06349865,231.71,0
17,0.96249607,0.32846103,-0.1714791,2.10920407,1.12956557,1.69603769,0.10771161,0.52150216,-1.1913111,0.72439631,1.69032992,0.40677358,-0.9364213,0.98373942,0.71091077,-0.6022318,0.40248438,-1.737162,-2.0276123,-0.269321,0.14399742,0.40249166,-0.0485082,-1.3718663,0.39081389,0.19996366,0.01637064,-0.0146053,34.09,0
18,1.16661638,0.50212009,-0.0673003,2.26156924,0.42880419,0.08947352,0.24114658,0.13808171,-0.9891624,0.92217497,0.74478579,-0.5313773,-2.1053465,1.1268701,0.00307532,0.42442451,-0.4544753,-0.0988706,-0.8165973,-0.3071685,0.01870187,-0.0619723,-0.1038549,-0.3704152,0.60320034,0.10855587,-0.0405207,-0.0114178,2.28,0
18,0.24749113,0.27766563,1.18547084,-0.0926025,-1.314394,-0.150116,-0.946365,-1.6179351,1.5440714,-0.8298806,-0.5831995,0.52493323,-0.4533753,0.08139309,1.5552042,-1.3968949,0.78313084,0.43662121,2.17780717,-0.2309831,1.65018036,0.20045409,-0.1853525,0.42307315,0.82059126,-0.2276319,0.33663445,0.25047535,22.75,0
22,-1.9465251,-0.0449005,-0.4055701,-1.0130573,2.9419677,2.9550534,-0.0630631,0.85554631,0.0499669,0.57374251,-0.0812565,-0.215745,0.04416063,0.03389776,1.19071768,0.57884348,-0.975667,0.04406282,0.48860287,-0.2167153,-0.5795259,-0.799229,0.87030022,0.98342149,0.32120113,0.14964988,0.70751884,0.01459975,0.89,0
22,-2.0742947,-0.1214818,1.32202063,0.41000751,0.29519755,-0.9595372,0.54398549,-0.1046267,0.47566402,0.14945062,-0.8565664,-0.1805232,-0.6552329,-0.2797969,-0.211668,-0.3333206,0.01075109,-0.4884727,0.50575103,-0.3866936,-0.4036395,-0.227404,0.74243486,0.39853486,0.24921216,0.27440427,0.35996936,0.24323167,26.43,0
23,1.17328461,0.35349788,0.28390507,1.13356332,-0.1725772,-0.9160537,0.36902485,-0.3272602,-0.246651,-0.0461393,-0.1434185,0.97935038,1.49228544,0.10141753,0.76147755,-0.0145841,-0.5116401,-0.3250564,-0.3909338,0.02787791,0.0670033,0.22781193,-0.1504872,0.4350451,0.72482458,-0.3370821,0.01636838,0.03004119,41.88,0
23,1.32270727,-0.1740408,0.43455503,0.57603765,-0.836758,-0.8310834,-0.264905,-0.2209819,-1.0714246,0.86855855,-0.6415063,-0.1113158,0.36148541,0.17194512,0.78216653,-1.3558707,-0.2169352,1.27176539,-1.2406219,-0.5229509,-0.2843756,-0.3233574,-0.0377099,0.34715094,0.55963914,-0.2801582,0.04233526,0.0288223,16,0
23,-0.4142888,0.90543732,1.72745294,1.47347127,0.00744274,-0.2003307,0.74022832,-0.0292474,-0.593392,-0.3461882,-0.0121422,0.78679632,0.63595388,-0.0863245,0.07680369,-1.4059193,0.77559174,-0.9428889,0.54396946,0.09730759,0.07723743,0.4573306,-0.0384997,0.6425219,-0.1838913,-0.277464,0.18268749,0.15266464,33,0
23,1.05938712,-0.1753192,1.26612964,1.18610995,-0.7860018,0.57843528,-0.7670843,0.40104615,0.69949968,-0.0647376,1.04829249,1.00561836,-0.5420016,-0.0399145,-0.2186832,0.00447568,-0.193554,0.04238796,-0.2778337,-0.1780234,0.01367629,0.21373361,0.01446185,0.00295086,0.29463801,-0.3950695,0.08146112,0.02422035,12.99,0
24,1.23742903,0.06104258,0.38052588,0.76156411,-0.3597707,-0.4940841,0.00649422,-0.1338624,0.43880974,-0.207358,-0.9291821,0.52710606,0.3486759,-0.1525351,-0.2183856,-0.1915518,-0.1165806,-0.6337908,0.3484158,-0.0663513,-0.2456825,-0.5309003,-0.0442654,0.07916803,0.50913569,0.28885783,-0.022705,0.01183623,17.28,0
25,1.1140086,0.08554609,0.49370249,1.33575999,-0.3001886,-0.0107538,-0.11876,0.1886167,0.20568685,0.08226226,1.13355567,0.626699,-1.4927804,0.52078789,-0.6745926,-0.5291082,0.1582562,-0.3987515,-0.1457089,-0.2738324,-0.0532337,-0.0047602,-0.0314702,0.19805372,0.56500731,-0.3377181,0.0290574,0.00445263,4.45,0
26,-0.5299123,0.87389158,1.34724733,0.14545668,0.41420886,0.10022309,0.71120608,0.17606596,-0.2867169,-0.4846877,0.87248959,0.85163586,-0.5717453,0.10097427,-1.5197718,-0.284376,-0.3105236,-0.4042479,-0.8233735,-0.2903476,0.04694907,0.20810486,-0.1855483,0.00103066,0.0988157,-0.5529036,-0.0732881,0.02330705,6.14,0
26,-0.5299123,0.87389158,1.34724733,0.14545668,0.41420886,0.10022309,0.71120608,0.17606596,-0.2867169,-0.4846877,0.87248959,0.85163586,-0.5717453,0.10097427,-1.5197718,-0.284376,-0.3105236,-0.4042479,-0.8233735,-0.2903476,0.04694907,0.20810486,-0.1855483,0.00103066,0.0988157,-0.5529036,-0.0732881,0.02330705,6.14,0
26,-0.5353878,0.86526781,1.35107629,0.14757547,0.43368021,0.08698294,0.69303931,0.17974226,-0.2856419,-0.4824745,0.87179958,0.85344743,-0.5718219,0.1022521,-1.5199912,-0.2859125,-0.3096334,-0.403902,-0.823743,-0.2832638,0.04952569,0.20653654,-0.1871081,0.00075301,0.09811661,-0.553471,-0.0783055,0.02542738,1.77,0
26,-0.5353878,0.86526781,1.35107629,0.14757547,0.43368021,0.08698294,0.69303931,0.17974226,-0.2856419,-0.4824745,0.87179958,0.85344743,-0.5718219,0.1022521,-1.5199912,-0.2859125,-0.3096334,-0.403902,-0.823743,-0.2832638,0.04952569,0.20653654,-0.1871081,0.00075301,0.09811661,-0.553471,-0.0783055,0.02542738,1.77,0
27,-0.2460459,0.4732669,1.69573755,0.26241149,-0.0108664,-0.6108359,0.79393655,-0.2472528,0.13887911,-0.4010071,-0.8120504,-0.1835245,-0.6301129,-0.2862175,-0.3370463,-0.4281055,-0.0306021,-0.5045682,0.35518028,0.04572113,-0.1945999,-0.3351327,-0.0781796,0.39278389,-0.0311571,0.1980368,-0.1753473,-0.2036162,30.49,0
27,-1.4521873,1.76512374,0.61166854,1.17682498,-0.4459799,0.24682645,-0.2575662,1.0924725,-0.6075245,0.04715555,0.78372685,1.09638567,-0.2680942,0.76864804,-0.5243674,-0.8088161,0.71038607,-0.1183688,0.97928784,0.00871333,0.08227982,0.32578219,-0.0691074,0.020962,-0.0446685,-0.2434414,0.14918033,0.12055691,1.8,0
29,0.99636953,-0.1225888,0.54681947,0.70657954,0.13455956,1.15699511,-0.2945613,0.4074291,0.33786266,-0.4081505,0.68264612,1.25371968,0.39191704,-0.0375109,0.79530152,-1.6682106,1.32299488,-2.8300352,-1.4634317,-0.2034612,-0.0763018,0.10886691,0.16223094,-0.575624,0.10979491,0.37381337,0.0505522,0.00510556,20.53,0
29,1.11088034,0.16871677,0.51714396,1.32540692,-0.1915734,0.01950372,-0.0318491,0.11761992,0.01766472,0.04486479,1.3450748,1.28633962,-0.2522671,0.27445768,-0.8103944,-0.5870051,0.08745107,-0.5504736,-0.1547494,-0.1901197,-0.0377087,0.09570146,-0.0481976,0.23211494,0.60620075,-0.3420968,0.03676961,0.00747996,6.54,0
32,1.24905472,-0.6247271,-0.7105889,-0.9916004,1.42997319,3.69297702,-1.0902086,0.96729082,0.85014852,-0.3070811,-0.4562453,0.22998135,-0.0169131,-0.2208461,0.3624177,0.3152223,-0.5122654,0.11899462,0.57472016,0.09785269,-0.0062927,0.00920022,-0.1294632,1.11297017,0.50038211,1.1965492,-0.0482204,0.00509362,29.89,0
32,-2.0088718,2.1985265,0.14424174,1.15943226,-0.8151743,0.18228827,-0.6171083,1.53081673,-0.5868323,0.12987575,0.65847945,1.26504922,-0.2065182,1.01360321,-0.5494135,-0.7080342,0.86964317,-0.0956596,0.94439541,0.02874012,0.09491731,0.2949827,0.01108138,0.01524937,0.03421064,-0.2361411,0.12829067,0.11798599,2.35,0
33,-0.6078771,1.03134508,1.74044974,1.23210555,0.41859226,0.11916812,0.85089267,-0.1762674,-0.2435013,0.14845549,-0.3870031,0.39829928,0.48191675,-0.3654391,0.23554457,-1.3478115,0.50464826,-0.7984045,0.75971031,0.25432478,-0.0873292,0.25831528,-0.264775,0.11828237,0.17350808,-0.2170413,0.09431191,-0.0330413,14.8,0
33,-0.9357315,0.17041577,2.74626127,-1.0779649,-0.305594,0.01157704,-0.2961785,0.40277557,-0.0404717,-0.852046,1.55210931,0.95356103,0.4154299,-0.2338999,0.45233583,0.84436828,-0.8227391,0.33882162,-1.2142344,-0.0054195,0.40121202,1.06486425,-0.1583254,0.29550549,-0.2593696,0.75419472,0.04666377,0.09394792,9.1,0
34,-0.7622557,0.12776775,2.65005639,-1.8756628,-0.8933564,-0.2687149,-0.4198636,0.14623341,-0.8696353,-0.0386517,-0.6861244,-0.5029109,1.38082632,-1.0391246,0.65284209,1.89874756,-0.4584135,-0.5598032,-0.2951026,0.35939291,0.43334964,1.26040266,-0.4047,0.09494552,0.48097598,-0.0906847,0.31922297,0.13559992,15.99,0
34,1.13831557,0.05695597,0.64941896,0.87306204,-0.4684663,-0.4101946,-0.0138976,-0.0724396,0.30678791,-0.2699526,-0.0026018,1.12430422,0.74420668,-0.1883534,-0.075662,-0.7091923,0.3812191,-1.3720802,-0.2737011,-0.0783546,-0.1642224,-0.2474005,0.05940506,0.45628647,0.361004,0.27441415,-0.0024984,0.01710885,21.34,0
34,-0.2915402,0.44557531,1.24975212,-1.7357359,0.08575556,-0.1219243,0.40771586,0.09530938,0.81590229,-1.491188,-0.8461914,0.05653255,-0.0589535,0.1519226,1.98259488,-0.4432951,-0.3182514,0.06478717,0.61350527,-0.0335223,-0.0649061,-0.120449,-0.1565256,-0.8002129,-0.0006204,-0.8352033,0.13100142,0.06289627,18.95,0
34,0.20168589,0.49748322,1.37391257,0.57140532,-0.6306578,-0.5396591,-0.0762703,-0.9171058,0.27000841,-0.4802807,-0.5125327,0.68090626,0.08992304,-0.1574051,-0.5888193,-0.4779084,0.2253888,-0.6686802,-0.0235994,-0.2223026,0.71896107,-0.1718769,-0.1662053,0.77647132,0.81846036,0.44254746,0.14275725,0.21923761,9.99,0
35,1.38639697,-0.7942095,0.77822419,-0.8647084,-1.0641323,0.35129617,-1.1914546,0.05268563,-0.304404,0.57651681,-1.6311118,0.04255951,2.04789832,-0.7393384,1.45622204,-0.2720496,-0.9320074,1.9265322,-0.6599392,-0.2730329,-0.2287266,-0.1235224,-0.1310251,-0.9296682,0.18137901,1.19492806,0.00053133,0.01991062,30.9,0
35,-1.0632357,1.41819063,1.08667286,1.2414396,0.00230613,0.04590158,0.5141209,0.2412524,-0.1545,0.28067262,-0.531948,0.58985753,0.55508696,-0.1163573,0.16588617,-1.23721,0.63841423,-0.7760706,0.69280589,0.23500893,-0.0572285,0.314153,-0.1298629,0.11428371,-0.0278125,-0.259937,0.11875364,-0.0089563,20.22,0
35,1.19935593,0.12995315,0.86358497,1.00263477,-0.783761,-0.884679,-0.0407433,-0.2080685,0.39247787,-0.2481779,-0.0953628,1.31413105,1.09168141,-0.4093464,-0.5779941,-0.5812837,0.21234268,-0.8931813,-0.0206529,-0.0726201,-0.0424681,0.19847405,-0.03301,1.01329013,0.55909751,0.40181753,-0.0058647,0.01793603,0.99,0
36,-1.0049293,-0.9859777,-0.0380388,3.71006136,-6.6319508,5.12210258,4.37169126,-2.0068675,-0.2787365,-0.2308729,0.14515526,-0.0631561,-0.7995851,-0.3419564,-0.9305298,0.51051019,0.09242811,0.82398413,1.1903978,-0.00198,1.393406,-0.3816714,0.96971918,0.0194448,0.57092281,0.33327778,0.85737319,-0.0755382,1402.95,0
36,-1.1694225,1.15831387,1.40679954,0.8601889,-0.1038099,0.12203478,0.26445138,-0.1087666,-0.1819766,0.65959265,0.45631689,-0.0977627,-0.3461587,0.21018239,2.34522933,-1.1726477,0.86001887,-1.1542243,0.85876803,-0.1205602,0.0244979,-0.1201532,0.21298605,0.08753576,-0.9465297,0.22670039,-0.8101008,0.23495658,7.99,0
36,1.09552461,-0.1160853,1.39791192,1.4975469,-1.049124,0.07283853,-0.7238021,0.28753247,0.99632681,-0.1491447,-0.5082917,-0.0278409,-1.3215598,-0.0624045,0.50575054,-0.2092985,0.20753653,-0.4713347,-0.7362976,-0.2750346,-0.0332342,0.09326188,0.0894984,0.3612613,0.25096295,-0.37828,0.0810239,0.03422694,2.09,0
37,1.29566762,0.34148345,0.0815052,0.56674607,-0.1104588,-0.7663248,0.0731549,-0.1683041,0.07183711,-0.281044,-0.5495339,0.04909316,0.30395002,-0.3167502,1.13489721,0.63590958,-0.1997632,-0.1220511,0.00451618,-0.0659834,-0.3236072,-0.9297814,0.06380881,-0.1935651,0.28757422,0.12788099,-0.0237312,0.02519967,0.99,0
38,0.15833178,0.87268744,0.96552458,1.80212716,0.13902198,0.1108631,0.55907919,-0.0290709,-0.3949123,0.03267448,-0.5009189,0.63191604,0.75469362,-0.0476555,0.34821762,-1.4935268,0.75723063,-0.6843692,1.30335876,0.08983778,0.11626997,0.69168504,0.12111283,0.11614217,-1.112725,-0.3033691,0.3275328,0.25562138,21.76,0
39,-0.5540646,0.2157283,0.84426463,-0.7530673,0.03484847,-0.5585972,1.09040096,-0.2038732,0.26239362,-1.3547102,-0.0948799,0.95374599,0.83696404,0.1447522,1.15660953,-1.9330209,0.74134896,-0.5136099,1.56734539,0.38328293,0.21213397,0.7023376,-0.0057006,0.14734644,0.24565195,-0.4404562,0.14713042,0.13946773,120.96,0
39,-1.3308816,0.26754023,-0.1684696,-0.7012321,3.28197153,3.21638962,-0.0593944,0.89543043,-0.0177788,-0.1657532,-0.7650473,-0.0156363,-0.356626,-0.0412,-0.7351031,0.03053331,-0.7780673,-0.0151597,-0.1528241,-0.1138752,-0.1510423,-0.3117264,-0.3747928,1.01488604,0.35399188,-0.5103271,0.15903267,0.22870793,13.84,0
40,1.110692,0.0819419,0.40606304,1.29074038,-0.1698131,0.12095538,-0.0808452,0.17437308,0.15207073,0.06526672,1.02454977,0.79313718,-1.0150397,0.42299545,-0.7066296,-0.4884554,0.05853145,-0.3836272,-0.0740677,-0.2198461,-0.056024,-0.0116031,-0.0704829,0.00434519,0.60392864,-0.3274245,0.02988969,0.0049443,13.84,0
41,1.15431212,0.26546232,0.38487052,0.57500704,-0.2174755,-0.3915196,-0.081489,0.06278949,-0.2605833,-0.1616772,2.05292778,1.13082593,0.18948451,-0.0707926,0.6193452,0.3185829,0.09023211,-0.3314504,-0.3447212,-0.0995797,-0.1932133,-0.5576851,0.16949207,0.1868627,0.08925198,0.09362623,-0.0096326,0.01966769,2.67,0
41,0.98606333,-0.2029646,-0.4927681,0.40769127,0.30566026,-0.2305292,0.58502809,-0.2082246,-0.2475034,-0.1922531,-0.6283175,0.43030793,0.81124802,0.37156636,1.02607885,-0.0285013,-0.3075461,-1.0996549,0.01073851,0.26350505,-0.3058739,-1.2165553,-0.0776015,-0.7413408,0.28688112,0.2003467,-0.0752034,0.02727122,169.05,0
41,1.13875934,-1.1929528,1.40713084,-0.3300701,-2.0695035,-0.2421754,-1.3066351,0.1045104,0.13462823,0.49393128,-0.8951876,-0.1826955,0.14608083,-0.5866108,0.79718902,-0.8917208,-0.0792078,1.54158849,-0.9835862,-0.2993074,-0.1561984,-0.0305688,-0.0197234,0.4337526,-0.0295215,1.1412413,-0.0086121,0.0415639,96.94,0
41,1.14552439,0.57506797,0.19400846,2.59819174,-0.09221,-1.0444296,0.53158759,-0.2418881,-0.8962872,0.75795233,-0.4489371,-0.6608633,-1.3085222,0.78886379,0.32029445,0.29540381,-0.2878785,-0.4514529,-1.0114462,-0.19105,0.01110633,-0.1197031,-0.0765095,0.69132043,0.63398398,0.04874127,-0.0531919,0.0162515,34.13,0
42,-0.2493613,0.39922737,0.06800933,-1.0606188,2.41039917,3.73657392,0.31644608,0.67229631,0.01514017,-0.2695016,-0.4951204,-0.1615058,-0.2742144,-0.2761908,-0.1724087,-0.1189621,-0.5500024,-0.1480516,0.77176178,0.10767635,-0.2576628,-0.6167623,-0.1566688,1.03113494,0.12061711,0.31049407,-0.2882986,-0.2239643,32.51,0
42,-0.5226663,1.009923,0.27646959,1.47528946,-0.7070126,0.35524255,1.55984879,-0.3995786,-0.479813,0.51635227,0.03433046,0.58922551,1.4269098,0.02051025,1.65133637,-0.9613426,0.24636006,-0.4075373,0.91739901,-0.013016,0.17240148,1.01154336,0.06966627,0.15781974,-1.1092243,-0.3023693,0.31817034,0.31690956,243.66,0
44,-0.8999924,0.13625478,1.88366471,-0.2089961,1.05144062,1.90524134,0.24142325,0.64763072,-0.0534662,-0.5041706,1.25459881,-0.2366292,-2.5175873,0.38457351,0.3438321,-1.3705631,0.95856798,-1.6072417,-0.6472564,-0.1217258,-0.0815002,-0.0169259,-0.1477063,-1.3846202,-0.0243521,0.4126595,-0.1067763,-0.1904758,21.55,0
44,-0.714764,0.51496859,1.82167563,0.61643363,0.84877561,-0.1119381,1.50561708,-0.7981673,0.24475656,0.26455417,-1.108114,-0.3598602,-0.1634714,-0.7839969,-0.3671528,-0.6531189,-0.5043,-0.2605604,0.43525105,0.10732172,-0.2200754,-0.0178447,-0.4319383,-0.1304585,0.33715859,-0.4400415,-0.6745262,-0.4732176,59.9,0
44,-0.9488964,0.24841362,2.95691425,2.81374999,0.1455388,-0.027353,0.13370163,-0.307535,-0.1252438,1.0349396,-0.5326478,-0.189878,0.08122219,-0.9390533,0.08118723,-0.1297848,-0.1743535,-0.090291,0.22243454,-0.0561863,-0.0836469,0.41609008,0.20753673,0.71606404,-0.6023111,-0.06423,-0.3150575,-0.2724633,0.75,0
44,0.92706025,-0.323684,0.38758483,0.54447399,0.24678739,1.6503578,-0.427576,0.6153707,0.22627827,-0.2254952,1.94454487,1.38515995,-0.4792617,0.31416628,0.21416723,-1.3337165,1.00286902,-2.1193135,-1.0530431,-0.1853904,-0.040513,0.0793594,0.09663175,-0.9925687,0.08509583,0.37744721,0.03609642,-0.0059603,45.71,0
46,-1.9232132,-0.8704823,2.32016963,1.9887758,0.41709079,-0.3800137,0.47213927,-0.5573332,-0.6490791,1.41088888,-0.517737,-0.9852018,-0.4005947,-0.8306646,0.33800949,0.02992418,0.37115031,-1.0543187,1.89036392,-0.3692274,-0.6864878,-0.7792676,1.08605502,0.51886343,-0.363712,3.0655757,-0.5890222,-0.3961098,35,0
46,1.00658858,-0.0711054,0.34761371,1.32968405,-0.1932395,0.15541822,0.00857355,0.1465377,0.1038443,0.03183002,1.07098087,0.94066483,-0.7294738,0.38011478,-0.7291263,-0.4934025,0.04355588,-0.4052896,-0.0925845,-0.0913669,-0.0202387,-0.0188806,-0.1209662,0.02738179,0.59386362,-0.3346879,0.02136801,0.0150804,67.97,0
46,-0.3782446,0.73292547,-0.1201542,0.18575507,2.59426949,3.79718265,0.05908796,0.97676828,-0.4126609,0.00675369,-0.6246662,-0.115852,-0.2150373,0.1404494,0.16026557,-0.6018902,-0.1443553,0.22155746,1.45485216,0.31557156,-0.1075818,-0.1571395,-0.1946592,1.01389735,0.14550337,-0.2376195,0.41137174,0.20278845,11.45,0
47,1.1978386,0.23682762,0.509605,0.65765866,-0.3654878,-0.7451011,0.07949745,-0.1305355,-0.0522631,-0.1100579,0.30713147,0.67066443,0.43797361,0.26902624,1.12741944,-0.1969226,0.00770367,-1.1226405,-0.5909177,-0.1209814,-0.1498756,-0.3742107,0.14551599,0.41498392,0.21215601,0.18172425,-0.0164021,0.01599421,3.63,0
